county_name,owning_jurisdiction,total_miles,total_lane_miles
ERIE,21 Other State agencies,36.7,69.9
ERIE,12 Local Parks,34.4,67.5
ERIE,62 Bureau of Indian Affairs,31.7,62.9
ERIE,11 State Parks,22.0,55.0
ERIE,26 Private or Restricted Access,8.8,17.3
ERIE,40 Other Public Instrumentality,8.2,15.7
ERIE,32 Other Toll Authority,4.1,5.7
ERIE,50 Indian Tribal Government,2.6,5.2
ERIE,25 Other local agencies,1.7,3.3
ERIE,74 Army,0.3,0.5
ESSEX,03 Town,628.6,1251.8
ESSEX,01 NYSDOT,398.1,796.2
ESSEX,02 County,356.8,713.8
ESSEX,21 Other State agencies,25.4,49.2
ESSEX,04 City or village,20.0,39.3
ESSEX,90 Public - Unclaimed,9.2,16.9
ESSEX,26 Private or Restricted Access,7.0,12.8
ESSEX,91 Public Restricted,0.3,0.6
ESSEX,40 Other Public Instrumentality,0.2,0.4
ESSEX,25 Other local agencies,0.1,0.1
FRANKLIN,03 Town,763.8,1523.8
FRANKLIN,01 NYSDOT,266.0,538.6
FRANKLIN,02 County,266.2,532.4
FRANKLIN,04 City or village,62.9,125.6
FRANKLIN,62 Bureau of Indian Affairs,34.6,61.9
FRANKLIN,21 Other State agencies,10.0,19.8
FRANKLIN,26 Private or Restricted Access,2.2,2.6
FRANKLIN,11 State Parks,0.2,0.2
FRANKLIN,74 Army,0.1,0.2
FRANKLIN,90 Public - Unclaimed,0.1,0.1
FULTON,03 Town,435.9,841.3
FULTON,02 County,143.3,286.6
FULTON,01 NYSDOT,142.8,285.9
FULTON,04 City or village,127.8,260.7
FULTON,26 Private or Restricted Access,1.5,2.2
FULTON,21 Other State agencies,0.5,0.8
GENESEE,03 Town,460.0,917.9
GENESEE,02 County,261.1,522.8
GENESEE,01 NYSDOT,197.5,417.1
GENESEE,04 City or village,77.2,155.9
GENESEE,31 NYS Thruway,71.1,131.3
GENESEE,50 Indian Tribal Government,16.3,32.4
GENESEE,21 Other State agencies,1.5,3.0
GENESEE,26 Private or Restricted Access,0.4,0.6
GENESEE,63 Bureau of Fish and Wildlife,0.1,0.1
GREENE,03 Town,641.2,1229.6
GREENE,02 County,261.4,522.9
GREENE,01 NYSDOT,196.7,420.1
GREENE,31 NYS Thruway,55.2,104.5
GREENE,04 City or village,50.1,95.4
GREENE,21 Other State agencies,11.3,21.2
GREENE,90 Public - Unclaimed,10.6,19.8
GREENE,40 Other Public Instrumentality,1.7,3.4
GREENE,12 Local Parks,0.8,1.6
GREENE,26 Private or Restricted Access,0.4,0.8
GREENE,32 Other Toll Authority,0.4,0.8
GREENE,41 Local Service,0.2,0.5
GREENE,91 Public Restricted,0.0,0.0
HAMILTON,01 NYSDOT,178.7,359.5
HAMILTON,03 Town,171.7,335.0
HAMILTON,02 County,93.5,186.9
HAMILTON,04 City or village,9.8,19.4
HAMILTON,21 Other State agencies,12.9,13.1
HAMILTON,26 Private or Restricted Access,1.5,2.9
HAMILTON,91 Public Restricted,0.0,0.1
HERKIMER,02 County,574.5,1146.7
HERKIMER,03 Town,555.2,1027.2
HERKIMER,01 NYSDOT,246.2,527.5
HERKIMER,04 City or village,116.3,232.2
HERKIMER,31 NYS Thruway,56.6,106.0
HERKIMER,26 Private or Restricted Access,3.6,7.1
HERKIMER,21 Other State agencies,3.9,7.0
JEFFERSON,03 Town,1015.0,2011.8
JEFFERSON,02 County,541.0,1086.1
JEFFERSON,01 NYSDOT,502.2,998.1
JEFFERSON,74 Army,314.1,460.9
JEFFERSON,04 City or village,192.5,386.8
JEFFERSON,11 State Parks,20.1,36.9
JEFFERSON,90 Public - Unclaimed,12.3,20.5
JEFFERSON,21 Other State agencies,8.5,16.0
JEFFERSON,26 Private or Restricted Access,3.5,6.4
JEFFERSON,32 Other Toll Authority,1.8,2.9
JEFFERSON,40 Other Public Instrumentality,0.8,1.8
JEFFERSON,12 Local Parks,0.3,0.5
JEFFERSON,25 Other local agencies,0.2,0.4
JEFFERSON,60 Other Federal agencies,0.2,0.2
KINGS,04 City or village,1486.5,2634.6
KINGS,01 NYSDOT,53.4,127.0
KINGS,26 Private or Restricted Access,17.7,27.4
KINGS,32 Other Toll Authority,8.1,22.3
KINGS,66 National Park Service,5.6,11.4
KINGS,12 Local Parks,5.4,9.4
KINGS,74 Army,3.8,7.3
KINGS,21 Other State agencies,1.7,3.4
KINGS,90 Public - Unclaimed,0.2,0.4
LEWIS,03 Town,878.4,1737.6
LEWIS,02 County,248.3,496.5
LEWIS,01 NYSDOT,154.2,313.9
LEWIS,04 City or village,26.9,53.7
LEWIS,74 Army,33.9,33.9
LEWIS,21 Other State agencies,6.7,11.9
LEWIS,26 Private or Restricted Access,1.6,2.6
LEWIS,11 State Parks,1.0,2.0
LIVINGSTON,03 Town,746.0,1467.8
LIVINGSTON,01 NYSDOT,315.7,627.8
LIVINGSTON,02 County,242.5,485.0
LIVINGSTON,04 City or village,87.3,174.8
LIVINGSTON,21 Other State agencies,15.6,24.1
LIVINGSTON,25 Other local agencies,2.8,5.1
LIVINGSTON,11 State Parks,1.7,3.4
LIVINGSTON,26 Private or Restricted Access,0.6,0.6
LIVINGSTON,90 Public - Unclaimed,0.2,0.5
MADISON,03 Town,717.1,1404.0
MADISON,02 County,434.9,869.6
MADISON,01 NYSDOT,170.3,367.8
MADISON,04 City or village,114.0,231.6
MADISON,31 NYS Thruway,37.0,70.8
MADISON,26 Private or Restricted Access,2.1,3.3
MADISON,21 Other State agencies,1.7,3.2
MADISON,25 Other local agencies,0.0,0.1
MONROE,03 Town,1705.0,3410.1
MONROE,01 NYSDOT,640.3,1530.2
MONROE,02 County,667.1,1446.6
MONROE,04 City or village,649.5,1386.3
MONROE,11 State Parks,38.7,112.9
MONROE,31 NYS Thruway,49.0,93.1
MONROE,90 Public - Unclaimed,34.2,68.3
MONROE,12 Local Parks,22.5,42.2
MONROE,21 Other State agencies,16.2,28.8
MONROE,40 Other Public Instrumentality,11.0,21.9
MONROE,26 Private or Restricted Access,11.0,21.3
MONROE,25 Other local agencies,1.7,2.7
MONROE,74 Army,0.7,1.3
MONTGOMERY,02 County,391.0,783.1
MONTGOMERY,03 Town,291.1,544.7
MONTGOMERY,01 NYSDOT,181.3,390.2
MONTGOMERY,04 City or village,126.6,250.6
MONTGOMERY,31 NYS Thruway,89.0,167.7
MONTGOMERY,90 Public - Unclaimed,5.7,11.0
MONTGOMERY,21 Other State agencies,4.5,6.3
MONTGOMERY,40 Other Public Instrumentality,2.0,4.0
MONTGOMERY,26 Private or Restricted Access,0.8,1.2
MONTGOMERY,41 Local Service,0.1,0.2
NASSAU,03 Town,2179.2,4442.2
NASSAU,04 City or village,1258.2,2553.3
NASSAU,02 County,483.8,1464.1
NASSAU,01 NYSDOT,357.0,1203.7
NASSAU,90 Public - Unclaimed,68.6,133.4
NASSAU,26 Private or Restricted Access,12.8,25.0
NASSAU,12 Local Parks,11.2,23.1
NASSAU,11 State Parks,7.2,22.3
NASSAU,21 Other State agencies,7.8,14.1
NASSAU,40 Other Public Instrumentality,6.9,11.3
NASSAU,25 Other local agencies,2.6,5.3
NASSAU,32 Other Toll Authority,0.5,2.9
NASSAU,41 Local Service,0.5,1.0
NASSAU,60 Other Federal agencies,0.5,0.9
NASSAU,66 National Park Service,0.5,0.5
NASSAU,74 Army,0.1,0.1
NASSAU,95 Non-Mainline - Connector,0.1,0.1
NEW YORK,04 City or village,482.4,1081.2
NEW YORK,01 NYSDOT,46.7,178.3
NEW YORK,32 Other Toll Authority,21.7,59.3
NEW YORK,12 Local Parks,9.3,14.8
NEW YORK,25 Other local agencies,6.3,12.4
NEW YORK,26 Private or Restricted Access,3.2,5.0
NEW YORK,90 Public - Unclaimed,1.7,3.0
NEW YORK,21 Other State agencies,0.7,1.0
NEW YORK,66 National Park Service,0.2,0.3
NIAGARA,03 Town,626.7,1248.7
NIAGARA,04 City or village,447.6,863.5
NIAGARA,01 NYSDOT,264.7,619.9
NIAGARA,02 County,284.7,572.9
NIAGARA,11 State Parks,47.2,110.8
NIAGARA,50 Indian Tribal Government,18.7,36.4
NIAGARA,90 Public - Unclaimed,10.5,18.7
NIAGARA,74 Army,9.0,18.0
NIAGARA,32 Other Toll Authority,6.1,10.5
NIAGARA,31 NYS Thruway,2.2,3.5
NIAGARA,26 Private or Restricted Access,1.1,2.2
NIAGARA,40 Other Public Instrumentality,1.0,2.0
NIAGARA,21 Other State agencies,0.9,1.9
NIAGARA,12 Local Parks,0.8,1.3
NIAGARA,91 Public Restricted,0.0,0.0
ONEIDA,03 Town,1271.8,2473.6
ONEIDA,02 County,593.7,1191.9
ONEIDA,01 NYSDOT,468.1,1125.9
ONEIDA,04 City or village,508.7,1032.2
ONEIDA,31 NYS Thruway,65.5,118.0
ONEIDA,90 Public - Unclaimed,37.3,59.9
ONEIDA,21 Other State agencies,28.4,49.9
ONEIDA,40 Other Public Instrumentality,10.7,20.9
ONEIDA,26 Private or Restricted Access,10.7,18.7
ONEIDA,11 State Parks,3.9,7.7
ONEIDA,12 Local Parks,4.0,6.2
ONEIDA,80 Other,2.0,5.9
ONEIDA,25 Other local agencies,0.9,1.4
ONEIDA,66 National Park Service,0.5,1.0
ONEIDA,72 Air Force,0.2,0.2
ONEIDA,74 Army,0.1,0.1
ONONDAGA,03 Town,1332.9,2674.3
ONONDAGA,02 County,793.7,1662.4
ONONDAGA,04 City or village,572.7,1314.6
ONONDAGA,01 NYSDOT,558.9,1260.8
ONONDAGA,31 NYS Thruway,79.9,136.2
ONONDAGA,90 Public - Unclaimed,38.1,76.3
ONONDAGA,50 Indian Tribal Government,14.7,27.6
ONONDAGA,21 Other State agencies,12.9,25.5
ONONDAGA,12 Local Parks,11.3,20.2
ONONDAGA,11 State Parks,7.8,15.5
ONONDAGA,26 Private or Restricted Access,6.5,12.5
ONONDAGA,25 Other local agencies,3.2,6.4
ONONDAGA,41 Local Service,3.1,6.2
ONONDAGA,40 Other Public Instrumentality,3.1,6.0
ONONDAGA,80 Other,0.3,0.5
ONONDAGA,74 Army,0.1,0.3
ONONDAGA,60 Other Federal agencies,0.1,0.2
ONONDAGA,91 Public Restricted,0.1,0.1
ONTARIO,03 Town,934.7,1866.0
ONTARIO,01 NYSDOT,225.7,492.0
ONTARIO,02 County,239.5,479.0
ONTARIO,04 City or village,129.0,257.3
ONTARIO,31 NYS Thruway,68.9,133.3
ONTARIO,26 Private or Restricted Access,3.3,6.6
ONTARIO,21 Other State agencies,2.0,3.7
ONTARIO,11 State Parks,1.0,2.0
ONTARIO,90 Public - Unclaimed,0.3,0.5
ONTARIO,74 Army,0.2,0.3
ORANGE,03 Town,1348.6,2696.9
ORANGE,01 NYSDOT,486.1,1081.2
ORANGE,04 City or village,450.1,959.0
ORANGE,02 County,301.8,606.6
ORANGE,74 Army,111.3,183.1
ORANGE,31 NYS Thruway,73.5,158.1
ORANGE,11 State Parks,47.1,102.8
ORANGE,21 Other State agencies,17.6,31.6
ORANGE,26 Private or Restricted Access,14.5,24.9
ORANGE,25 Other local agencies,3.3,10.8
ORANGE,80 Other,5.2,10.4
ORANGE,32 Other Toll Authority,1.7,5.0
ORANGE,12 Local Parks,0.6,1.2
ORLEANS,03 Town,381.5,758.7
ORLEANS,02 County,196.8,393.6
ORLEANS,01 NYSDOT,158.4,316.2
ORLEANS,04 City or village,54.7,107.2
ORLEANS,11 State Parks,17.1,56.2
ORLEANS,26 Private or Restricted Access,1.5,2.9
ORLEANS,21 Other State agencies,1.1,2.1
ORLEANS,25 Other local agencies,0.1,0.1
OSWEGO,03 Town,965.5,1918.4
OSWEGO,02 County,505.3,1011.0
OSWEGO,01 NYSDOT,327.6,691.6
OSWEGO,04 City or village,180.0,363.7
OSWEGO,90 Public - Unclaimed,44.7,62.1
OSWEGO,21 Other State agencies,26.0,35.7
OSWEGO,11 State Parks,4.9,9.3
OSWEGO,40 Other Public Instrumentality,3.9,7.7
OSWEGO,26 Private or Restricted Access,1.9,3.6
OSWEGO,12 Local Parks,0.7,1.4
OSWEGO,91 Public Restricted,0.4,0.9
OSWEGO,74 Army,0.1,0.3
OTSEGO,03 Town,1228.5,2411.0
OTSEGO,02 County,476.4,952.7
OTSEGO,01 NYSDOT,338.7,690.7
OTSEGO,04 City or village,82.8,162.5
OTSEGO,11 State Parks,5.6,11.2
OTSEGO,21 Other State agencies,3.9,7.0
OTSEGO,26 Private or Restricted Access,2.1,4.0
PUTNAM,03 Town,572.9,1136.6
PUTNAM,01 NYSDOT,163.2,360.1
PUTNAM,02 County,116.9,234.1
PUTNAM,04 City or village,12.7,24.6
PUTNAM,90 Public - Unclaimed,10.2,18.7
PUTNAM,26 Private or Restricted Access,6.1,12.2
PUTNAM,11 State Parks,2.3,4.3
PUTNAM,40 Other Public Instrumentality,1.4,2.8
PUTNAM,12 Local Parks,0.9,1.8
PUTNAM,25 Other local agencies,0.3,0.6
PUTNAM,21 Other State agencies,0.3,0.3
PUTNAM,41 Local Service,0.1,0.1
QUEENS,04 City or village,2143.9,3950.1
QUEENS,01 NYSDOT,207.1,460.9
QUEENS,25 Other local agencies,31.2,75.2
QUEENS,32 Other Toll Authority,10.0,28.0
QUEENS,26 Private or Restricted Access,18.3,24.4
QUEENS,12 Local Parks,15.1,23.6
QUEENS,66 National Park Service,8.8,16.2
QUEENS,21 Other State agencies,4.5,8.2
QUEENS,74 Army,1.0,1.9
RENSSELAER,03 Town,904.6,1665.1
RENSSELAER,02 County,330.1,660.0
RENSSELAER,01 NYSDOT,293.2,635.0
RENSSELAER,04 City or village,215.8,405.5
RENSSELAER,90 Public - Unclaimed,28.0,55.1
RENSSELAER,31 NYS Thruway,19.5,37.3
RENSSELAER,11 State Parks,13.6,26.9
RENSSELAER,26 Private or Restricted Access,11.3,17.3
RENSSELAER,21 Other State agencies,4.9,7.9
RENSSELAER,40 Other Public Instrumentality,2.6,5.1
RENSSELAER,12 Local Parks,0.6,1.2
RENSSELAER,41 Local Service,0.3,0.6
RENSSELAER,25 Other local agencies,0.3,0.6
RENSSELAER,91 Public Restricted,0.1,0.2
RENSSELAER,27 Railroad,0.0,0.0
RICHMOND,04 City or village,820.6,1472.8
RICHMOND,01 NYSDOT,65.5,140.5
RICHMOND,26 Private or Restricted Access,15.7,30.4
RICHMOND,32 Other Toll Authority,8.2,20.0
RICHMOND,66 National Park Service,9.4,19.4
RICHMOND,21 Other State agencies,7.1,12.3
RICHMOND,25 Other local agencies,1.5,5.6
RICHMOND,74 Army,0.4,0.9
ROCKLAND,03 Town,600.1,1200.9
ROCKLAND,04 City or village,297.2,589.3
ROCKLAND,02 County,176.1,358.4
ROCKLAND,01 NYSDOT,113.9,276.8
ROCKLAND,11 State Parks,70.2,186.8
ROCKLAND,31 NYS Thruway,65.3,162.4
ROCKLAND,90 Public - Unclaimed,21.0,36.5
ROCKLAND,21 Other State agencies,8.6,16.7
ROCKLAND,26 Private or Restricted Access,3.6,7.0
ROCKLAND,40 Other Public Instrumentality,3.1,5.5
ROCKLAND,74 Army,0.6,1.3
ROCKLAND,12 Local Parks,0.8,1.0
ROCKLAND,91 Public Restricted,0.3,0.6
ROCKLAND,32 Other Toll Authority,0.3,0.5
ROCKLAND,41 Local Service,0.2,0.4
ROCKLAND,93 Roundabout,0.0,0.1
SARATOGA,03 Town,1335.5,2646.1
SARATOGA,01 NYSDOT,330.1,762.3
SARATOGA,02 County,365.6,737.8
SARATOGA,04 City or village,236.3,458.7
SARATOGA,90 Public - Unclaimed,22.0,43.6
SARATOGA,11 State Parks,12.1,21.3
SARATOGA,73 Navy/Marines,11.0,21.2
SARATOGA,21 Other State agencies,7.1,14.0
SARATOGA,66 National Park Service,10.8,13.9
SARATOGA,26 Private or Restricted Access,5.0,9.7
SARATOGA,12 Local Parks,2.9,5.7
SARATOGA,40 Other Public Instrumentality,1.9,3.9
SCHENECTADY,03 Town,337.2,673.2
SCHENECTADY,02 County,217.1,433.1
SCHENECTADY,01 NYSDOT,188.0,427.4
SCHENECTADY,04 City or village,198.9,421.2
SCHENECTADY,31 NYS Thruway,34.3,71.8
SCHENECTADY,90 Public - Unclaimed,12.4,24.8
SCHENECTADY,40 Other Public Instrumentality,5.5,10.3
SCHENECTADY,26 Private or Restricted Access,1.8,3.6
SCHENECTADY,25 Other local agencies,1.5,3.0
SCHENECTADY,21 Other State agencies,1.4,2.8
SCHENECTADY,41 Local Service,1.2,2.4
SCHENECTADY,74 Army,0.1,0.2
SCHOHARIE,03 Town,620.7,1202.7
SCHOHARIE,02 County,319.1,638.3
SCHOHARIE,01 NYSDOT,213.9,465.8
SCHOHARIE,04 City or village,33.9,66.1
SCHOHARIE,21 Other State agencies,3.3,5.9
SCHOHARIE,26 Private or Restricted Access,2.6,4.5
SCHOHARIE,11 State Parks,1.2,2.4
SCHOHARIE,41 Local Service,0.2,0.4
SCHUYLER,03 Town,444.3,877.7
SCHUYLER,02 County,121.0,241.9
SCHUYLER,01 NYSDOT,104.0,217.6
SCHUYLER,04 City or village,34.5,69.0
SCHUYLER,26 Private or Restricted Access,3.0,5.9
SCHUYLER,11 State Parks,0.7,1.5
SCHUYLER,64 U.S. Forest Service,0.6,0.9
SCHUYLER,21 Other State agencies,0.2,0.4
SENECA,03 Town,373.7,730.3
SENECA,01 NYSDOT,158.2,325.5
SENECA,02 County,156.2,312.4
SENECA,31 NYS Thruway,29.6,72.2
SENECA,04 City or village,23.0,45.3
SENECA,21 Other State agencies,6.3,10.8
SENECA,63 Bureau of Fish and Wildlife,4.1,4.5
SENECA,26 Private or Restricted Access,0.3,0.6
SENECA,11 State Parks,0.4,0.6
SENECA,64 U.S. Forest Service,0.0,0.0
STEUBEN,03 Town,1876.4,3716.8
STEUBEN,02 County,679.8,1359.6
STEUBEN,01 NYSDOT,489.1,981.9
STEUBEN,04 City or village,197.9,389.4
STEUBEN,12 Local Parks,1.1,2.2
STEUBEN,70 Corps of Engineers (Civil),1.0,2.0
STEUBEN,26 Private or Restricted Access,0.9,1.5
STEUBEN,21 Other State agencies,0.2,0.2
ST LAWRENCE,03 Town,1818.9,3608.0
ST LAWRENCE,02 County,572.7,1145.5
ST LAWRENCE,01 NYSDOT,516.1,1064.7
ST LAWRENCE,04 City or village,175.3,349.0
ST LAWRENCE,21 Other State agencies,19.2,37.2
ST LAWRENCE,26 Private or Restricted Access,4.4,8.3
ST LAWRENCE,32 Other Toll Authority,2.0,6.4
ST LAWRENCE,12 Local Parks,1.1,2.2
ST LAWRENCE,63 Bureau of Fish and Wildlife,0.5,1.0
ST LAWRENCE,74 Army,0.1,0.2
ST LAWRENCE,90 Public - Unclaimed,0.1,0.2
SUFFOLK,03 Town,5755.7,11503.3
SUFFOLK,01 NYSDOT,702.6,1918.7
SUFFOLK,04 City or village,647.5,1278.9
SUFFOLK,02 County,428.8,1165.2
SUFFOLK,26 Private or Restricted Access,50.3,87.7
SUFFOLK,60 Other Federal agencies,36.1,70.2
SUFFOLK,21 Other State agencies,32.8,60.0
SUFFOLK,11 State Parks,10.4,26.8
SUFFOLK,50 Indian Tribal Government,8.3,16.0
SUFFOLK,12 Local Parks,2.1,4.0
SUFFOLK,90 Public - Unclaimed,2.0,2.4
SUFFOLK,63 Bureau of Fish and Wildlife,1.7,2.1
SUFFOLK,66 National Park Service,1.8,2.0
SUFFOLK,74 Army,0.9,1.8
SUFFOLK,80 Other,0.5,0.9
SUFFOLK,25 Other local agencies,0.3,0.6
SULLIVAN,03 Town,1381.8,2716.9
SULLIVAN,02 County,385.2,771.7
SULLIVAN,01 NYSDOT,228.4,546.2
SULLIVAN,04 City or village,67.0,132.4
SULLIVAN,25 Other local agencies,6.0,11.9
SULLIVAN,26 Private or Restricted Access,2.8,5.5
SULLIVAN,21 Other State agencies,2.5,3.6
SULLIVAN,80 Other,0.1,0.2
TIOGA,03 Town,754.1,1484.4
TIOGA,01 NYSDOT,222.6,381.2
TIOGA,02 County,140.1,280.2
TIOGA,04 City or village,52.4,103.3
TIOGA,26 Private or Restricted Access,3.3,5.8
TIOGA,12 Local Parks,1.1,2.0
TOMPKINS,03 Town,615.2,1185.2
TOMPKINS,02 County,300.6,602.3
TOMPKINS,01 NYSDOT,167.2,351.6
TOMPKINS,04 City or village,138.4,276.5
TOMPKINS,26 Private or Restricted Access,8.6,16.7
TOMPKINS,21 Other State agencies,4.9,9.2
TOMPKINS,11 State Parks,4.0,7.9
TOMPKINS,25 Other local agencies,0.5,0.9
TOMPKINS,74 Army,0.1,0.3
ULSTER,03 Town,1369.7,2712.3
ULSTER,02 County,422.2,846.0
ULSTER,01 NYSDOT,294.9,640.5
ULSTER,04 City or village,123.9,242.0
ULSTER,31 NYS Thruway,87.1,165.7
ULSTER,25 Other local agencies,28.8,56.6
ULSTER,21 Other State agencies,8.9,16.7
ULSTER,26 Private or Restricted Access,7.2,12.6
ULSTER,32 Other Toll Authority,1.6,4.8
